Наслов,Опис,Категорија,Автор,Издавач,Година,Страници,Цена
The Change,"A roar of rage, a pacy page-turner, I loved it with all my broken heart. Read it. You'll love it' Marian Keyes 'I loved this wild mystery about a group of midlife women who have just about had enough. I couldn't put it down' Erin Kelly 'A feminist thriller","Crime & Thriller , Thriller","Miller, Kirsten",HarperCollins Publishers,2022,480,1.099 Денари
The Change,"A roar of rage, a pacy page-turner, I loved it with all my broken heart. Read it. You'll love it' Marian Keyes 'I loved this wild mystery about a group of midlife women who have just about had enough. I couldn't put it down' Erin Kelly 'A propulsive plot a","Crime & Thriller , Thriller","Miller, Kirsten",HarperCollins Publishers,2022,480,899 Денари
The Girls Are Good,"COMPETITION. PERFECTION. DESTRUCTION. 'A tight, frightening story of friendship, rivalry and obsession, told in sparse and beautiful prose' Abigail Dean, author of GIRL A 'Brilliantly observed, beautifully written - it's quite simply unforgettable' Alex Mi","Crime & Thriller , Thriller","Bernardini, Ilaria",HarperCollins Publishers,2022,224,899 Денари
City on Fire,"""One of America's greatest storytellers."" - Stephen King ""No one fuses action with emotion like Winslow."" - The Times The new thriller from the #1 international bestseller - the start of a brand new trilogy 'Superb. This is storytelling with a keen edge. C","Crime & Thriller , Thriller","Winslow, Don",HarperCollins Publishers,2022,384,999 Денари
All That's Left Unsaid,"A vivid portrait of life as a refugee in 1990s Australia . . . Tracey Lien's first novel is a deeply moving tale of rage, regret and resilience . . . A brilliant debut' The Times 'An unforgettable debut, utterly compelling from start to finish. Original. H","Crime & Thriller , Thriller","Lien, Tracey",HarperCollins Publishers,2022,352,899 Денари
An Image to Die For,"Behind the scenes of television production journalist-turned-investigator, Sam Dean, discovers greed, ugliness and murder. When a TV producer offers journalist Sam Dean the job of tracking down a suspect in the brutal murder of a young woman and her child,","Crime & Thriller , Thriller","Phillips, Mike",HarperCollins Publishers,2022,288,699 Денари
Vice,"Betrayal, family loyalties, secrets: not all gangsters live in the east end. Two families run this part of Manchester: the Johnsons and the Bennetts. With the head of the Johnson family banged up, the Bennetts have made their move. But power comes at a pri","Crime & Thriller , Thriller","Woods, Karen",HarperCollins Publishers,2022,320,699 Денари
Desperation in Death,"The #1 New York Times bestselling author presents a gripping new thriller that pits homicide detective Eve Dallas against a conspiracy of exploitation and evil... New York, 2061: The place called the Pleasure Academy is a living nightmare where abducted girls are trapped, trained for a life of abject service while their souls are slowly but surely destroyed. Dorian, a thirteen-year-old runaway who'd been imprisoned there, might never have made it out if not for her fellow inmate Mina, who'd hatched the escape plan. Mina was the more daring of the two?but they'd been equally desperate. Unfortunately, they didn't get away fast enough. Now Dorian is injured, terrified, and wandering the streets of New York, and Mina lies dead near the waterfront while Lt. Eve Dallas looks over the scene. Mina's expensive, elegant clothes and beauty products convince Dallas that she was being groomed, literally and figuratively, for sex trafficking?and that whoever is investing in this high-overhead operation expects windfall profits. Her billionaire husband, Roarke, may be able to help, considering his ties to the city's ultra-rich. But Roarke is also worried about the effect this case is having on Dallas, as it brings a rage to the surface she can barely control. No matter what, she must keep her head clear--because above all, she is desperate for justice and to take down those who prey on and torment the innocent. A Macmillan Audio production from St. Martin's Press.","Crime & Thriller , Thriller","Robb, J. D.",Macmillan Audio,2022,,2.299 Денари
The Kingdom,"INTERNATIONAL BESTSELLER ? A tense and atmospheric thriller about two brothers, one small town, and a lifetime of dark secrets, from the #1 New York Times bestselling author of Cockroaches. ?I read The Kingdom and couldn't put it down.... Suspenseful ... original ... special in every way.??Stephen King, #1 New York Times bestselling author of Fairy Tale Roy and Carl, brothers from a small mountain town, have spent their whole lives hiding from the darkness in their pasts?Roy by staying put and staying quiet, and Carl by running far away. Roy believed his little brother was gone for good. But Carl has big plans for his hometown. And when he returns with a mysterious new wife and a business opportunity that seems too good to be true, simmering tensions begin to surface and unexplained deaths in the town's past come under new scrutiny. Soon powerful players set their sights on taking the brothers down by exposing their role in the town's sordid history. But Roy and Carl are survivors, and no strangers to violence. As the town's long-buried past begins to surface, Roy will be forced to choose between his own flesh and blood and a future he had never dared to believe possible. Don't miss Jo Nesbo's new thriller, Killing Moon, coming soon!","Crime & Thriller , Thriller","Nesbo, Jo",Knopf Doubleday Publishing Group,2021,592,999 Денари
A Time for Mercy,"Jake Brigance, lawyer hero of A Time to Kill and Sycamore Row, is back, in his toughest case ever. 'When Grisham gets in the courtroom he lets rip, drawing scenes so real they're not just alive, they're pulsating' Mirror CAN A KILLER EVER BE ABOVE THE LAW?","Crime & Thriller , Thriller","Grisham, John",Hodder & Stoughton,2021,,799 Денари
Sooley : The Gripping New Bestseller from John Grisham - Perfect for Father's Day,"***THE SUNDAY TIMES BESTSELLER*** 'A master of plotting and pacing' - New York Times 'With every new book I appreciate John Grisham a little more, for his compassion for the underdog, and his willingness to strike out in new directions' - Entertainment Weekly ONE MAN. ONE HOPE. ONCE CHANCE TO BECOME A LEGEND. ONE MAN Seventeen-year-old Samuel Sooleyman comes from a village in South Sudan, a war-torn country where one third of the population is a refugee. His great love is basketball: his prodigious leap and lightning speed make him an exceptional player. And it may also bring him his big chance: he has been noticed by a coach taking a youth team to the United States. ONE HOPE If he gets through the tournament, Samuel's life will change beyond recognition. But it's the longest of long shots. His talent is raw and uncoached. There are hundreds of better-known players ahead of him. And he must leave his family behind, at least at the beginning. ONE CHANCE As American success beckons, devastating news reaches Samuel from home. Caught between his dream and the nightmare unfolding thousands of miles away, 'Sooley', as he's nicknamed by his classmates, must make hard choices about his future. This quiet, dedicated boy must do what no other player has achieved in the history of his chosen game: become a legend in twelve short months. Global bestseller John Grisham takes you to a different kind of court in this gripping and incredibly moving novel that showcases his storytelling powers in an entirely new light. 'Grisham's books are smart, imaginative, and funny, populated by complex interesting people' - The Washington Post 'A superb, instinctive storyteller' - The Times 350+ million copies, 45 languages, 9 blockbuster films: NO ONE WRITES DRAMA LIKE JOHN GRISHAM","Crime & Thriller , Thriller","Grisham, John",Hodder & Stoughton,2021,368,1.399 Денари
Strange Hotel,"From the winner of the Women's Prize for Fiction 'Powerful . . . truly a living and breathing thing.' Financial Times 'McBride is on blistering form.' Sinead Gleeson 'Nothing else feels so fresh, so radically new.' Garth Greenwell 'An emotionally enchanting novel that gets deep under the skin.' Dazed A woman enters an Avignon hotel room. She's been here once before - but while the room hasn't changed, she is a different person now. Forever caught between check-in and check-out, she will go on to occupy other hotel rooms, from Prague to Oslo, Auckland to Austin, each as anonymous as the last. There, amid the open suitcases, the matchbooks, cigarettes, keys and room-service wine, she will negotiate with memory, with the men she sometimes meets, and with what it might mean to return home.","Crime & Thriller , Thriller","Mcbride, Eimear",Faber & Faber,2021,160,699 Денари
